"","Mz","total"
"238","120101000100400017 ",67
"239","120101000100400018 ",91
"240","120101000100400019 ",79
"241","120101000100400020 ",71
"242","120101000100400020C",70
"243","120101000100400020E",32
"244","120101000100400020G",57
"245","120101000100400020I",33
"246","120101000100400020K",56
"247","120101000100400020Q",40
"248","120101000100400020R",33
"249","120101000100400021 ",105
"250","120101000100400022 ",117
"251","120101000100400023 ",136
"252","120101000100400024A",119
"253","120101000100400025A",71
"254","120101000100400026A",47
"255","120101000100400027 ",130
"256","120101000100400028 ",135
"257","120101000100400029 ",98
"258","120101000100400030 ",134
"259","120101000100400031 ",78
"260","120101000100400032 ",77
"261","120101000100400033 ",51
"262","120101000100400034 ",50
"263","120101000100400036 ",76
"264","120101000100400037 ",44
"265","120101000100400038 ",59
"266","120101000100400039A",45
"267","120101000100400040A",46
"268","120101000100400042 ",90
"269","120101000100400043 ",89
"270","120101000100400044D",67
"271","120101000100400044E",42
"272","120101000100400044F",34
"273","120101000100400044G",45
"274","120101000100400044J",103
"275","120101000100400044K",91
"276","120101000100400044M",30
"277","120101000100400044V",88
"278","120101000100400045A",59
"279","120101000100400046 ",51
"280","120101000100400048 ",128
"281","120101000100400049 ",97
"282","120101000100400050 ",109
"283","120101000100400051 ",109
"284","120101000100400052 ",103
"285","120101000100400053 ",111
"286","120101000100400054 ",121
"287","120101000100400055 ",137
"288","120101000100400056 ",42
"289","120101000100400057 ",40
"290","120101000100400058 ",65
"291","120101000100400059 ",128
"292","120101000100400060A",46
"293","120101000100400062A",45
"294","120101000100400062H",38
"295","120101000100400062K",38
"296","120101000100400062N",38
"297","120101000100400062P",42
"298","120101000100400062T",33
"299","120101000100400063G",74
"300","120101000100400064A",50
"301","120101000100400064D",30
"302","120101000100400064E",38
"303","120101000100400066G",47
"304","120101000100400067 ",30
"305","120101000100400069 ",50
"306","120101000100400069A",33
"307","120101000100400069I",68
"308","120101000100400070H",46
"309","120101000100400070I",44
"310","120101000100400076 ",44
"311","120101000100400077C",37
"312","120101000100400078K",31
"313","120101000100400078O",30
"314","120101000100400079E",44
"315","120101000100400079P",42
"316","120101000100400079R",33
"317","120101000100400079S",46
"318","1201010001004008888",880
"319","120101000100500001 ",53
"320","120101000100500002 ",94
"321","120101000100500003 ",90
"322","120101000100500003E",74
"323","120101000100500003G",65
"324","120101000100500003L",67
"325","120101000100500003M",33
"326","120101000100500003N",53
"327","120101000100500003O",101
"328","120101000100500004B",53
"329","120101000100500005 ",109
"330","120101000100500006B",34
"331","120101000100500007 ",99
"332","120101000100500008 ",34
"333","120101000100500010 ",82
"334","120101000100500011 ",71
"335","120101000100500012 ",103
"336","120101000100500013 ",81
"337","120101000100500014 ",99
"338","120101000100500015 ",82
"339","120101000100500016 ",106
"340","120101000100500017 ",89
"341","120101000100500018 ",418
"342","120101000100500019 ",33
"343","120101000100500020 ",131
"344","120101000100500021 ",46
"345","120101000100500022 ",86
"346","120101000100500023 ",170
"347","120101000100500024 ",123
"348","120101000100500026 ",152
"349","120101000100500028 ",50
"350","120101000100500029 ",93
"351","120101000100500030 ",80
"352","120101000100500031 ",62
"353","120101000100500032 ",56
"354","120101000100500033 ",86
"355","120101000100500034 ",99
"356","120101000100500035 ",95
"357","120101000100500036 ",45
"358","120101000100500037 ",48
"359","120101000100500038 ",87
"360","120101000100500040 ",96
"361","120101000100500041 ",90
"362","120101000100500042 ",47
"363","120101000100500043 ",54
"364","120101000100500044 ",116
"365","120101000100500045B",41
"366","120101000100500046 ",98
"367","120101000100500047 ",52
"368","120101000100500048 ",34
"369","120101000100500048C",54
"370","120101000100500049 ",63
"371","120101000100500050 ",66
"372","120101000100500051 ",35
"373","120101000100500052 ",49
"374","120101000100500053 ",72
"375","120101000100500054 ",62
"376","120101000100500055B",47
"377","120101000100500055D",31
"378","120101000100500056B",77
"379","120101000100500056D",70
"380","120101000100500057B",210
"381","120101000100500059 ",32
"382","120101000100500060A",38
"383","120101000100500062G",35
"384","120101000100500062H",54
"385","120101000100500062J",30
"386","120101000100500063B",54
"387","120101000100500064 ",62
"388","120101000100500065B",58
"389","120101000100500065G",31
"390","120101000100500067D",31
"391","1201010001005008888",581
"392","120101000100600001 ",141
"393","120101000100600002 ",354
"394","120101000100600003 ",140
"395","120101000100600004 ",84
"396","120101000100600005 ",68
"397","120101000100600006 ",71
"398","120101000100600007 ",41
"399","120101000100600008 ",43
"400","120101000100600009 ",47
"401","120101000100600010 ",44
"402","120101000100600011 ",119
"403","120101000100600012 ",54
"404","120101000100600013 ",71
"405","120101000100600017 ",123
"406","120101000100600018A",290
"407","120101000100600019A",146
"408","120101000100600019B",75
"409","120101000100600021 ",135
"410","120101000100600022 ",147
"411","120101000100600023 ",36
"412","120101000100600024 ",49
"413","120101000100600025 ",56
"414","120101000100600026 ",124
"415","120101000100600027B",262
"416","120101000100600027C",32
"417","120101000100600028 ",115
"418","120101000100600029 ",112
"419","120101000100600031 ",76
"420","120101000100600032 ",95
"421","120101000100600033 ",94
"422","120101000100600034 ",66
"423","120101000100600035A",45
"424","120101000100600037 ",67
"425","120101000100600038 ",118
"426","120101000100600039 ",126
"427","120101000100600040 ",52
"428","120101000100600041 ",179
"429","120101000100600042 ",148
"430","120101000100600043 ",56
"431","120101000100600046 ",104
"432","120101000100600047 ",139
"433","120101000100600048 ",47
"434","120101000100600049 ",186
"435","1201010001006008888",29
"436","120101000100700001A",188
"437","120101000100700003 ",95
"438","120101000100700004A",60
"439","120101000100700005 ",37
"440","120101000100700006 ",136
"441","120101000100700007 ",238
"442","120101000100700008 ",135
"443","120101000100700010A",283
"444","120101000100700011A",410
"445","120101000100700012A",69
"446","120101000100700013A",42
"447","120101000100700015 ",34
"448","120101000100700017 ",95
"449","120101000100700018 ",51
"450","120101000100700018B",123
"451","120101000100700019 ",126
"452","120101000100700020 ",38
"453","120101000100700021 ",181
"454","120101000100700022 ",103
"455","120101000100700025 ",104
"456","120101000100700026 ",161
"457","120101000100700027 ",71
"458","120101000100700028 ",94
"459","120101000100700030 ",35
"460","120101000100700031 ",109
"461","120101000100700032 ",110
"462","120101000100700033 ",197
"463","120101000100700034 ",60
"464","120101000100700035 ",35
"465","120101000100700036 ",46
"466","120101000100700037 ",69
"467","120101000100700038 ",415
"468","120101000100700039 ",227
"469","120101000100700040 ",159
"470","120101000100700041 ",72
"471","120101000100700042 ",82
"472","120101000100700043 ",348
"473","120101000100700044 ",72
"474","120101000100700045 ",48
"475","120101000100700046 ",43
"476","120101000100700049 ",140
"477","120101000100700050 ",37
"478","120101000100700051 ",174
"479","120101000100700053 ",69
"480","1201010001007008888",37
"481","120101000100800003 ",163
"482","120101000100800004A",301
"483","120101000100800006 ",37
"484","120101000100800007 ",80
"485","120101000100800008 ",114
"486","120101000100800009 ",48
"487","120101000100800010 ",73
"488","120101000100800011 ",72
"489","120101000100800012 ",81
"490","120101000100800013 ",50
"491","120101000100800014 ",247
"492","120101000100800015 ",84
"493","120101000100800016 ",85
"494","120101000100800017 ",90
"495","120101000100800018 ",85
"496","120101000100800019B",122
"497","120101000100800019C",105
"498","120101000100800020 ",84
"499","120101000100800021 ",129
"500","120101000100800022A",214
"501","120101000100800022B",42
"502","120101000100800023 ",43
"503","120101000100800024 ",80
"504","120101000100800025 ",44
"505","120101000100800026 ",53
"506","120101000100800027 ",120
"507","120101000100800028 ",248
"508","120101000100800029 ",443
"509","120101000100800030 ",182
"510","120101000100800031 ",221
"511","120101000100800032 ",95
"512","120101000100800033 ",96
"513","120101000100800034 ",151
"514","120101000100800035 ",353
"515","120101000100800036 ",284
"516","120101000100800037 ",215
"517","120101000100800038 ",53
"518","120101000100800039 ",201
"519","120101000100800040A",137
"520","120101000100800040B",245
"521","120101000100800041 ",326
"522","120101000100800042 ",204
"523","120101000100800043 ",216
"524","120101000100800044 ",132
"525","120101000100800045 ",30
"526","120101000100800046 ",195
"527","120101000100800047 ",166
"528","120101000100800048 ",193
"529","120101000100800049 ",51
"530","120101000100800050 ",64
"531","120101000100800051 ",42
"532","120101000100800052A",74
"533","120101000100800053 ",38
"534","120101000100800054 ",38
"535","120101000100800055 ",84
"536","120101000100800056 ",86
"537","120101000100800057 ",150
"538","1201010001008008888",38
"539","120101000100900001 ",110
"540","120101000100900002 ",36
"541","120101000100900003 ",112
"542","120101000100900005 ",103
"543","120101000100900006B",230
"544","120101000100900006C",65
"545","120101000100900007A",183
"546","120101000100900007B",39
"547","120101000100900008 ",62
"548","120101000100900009 ",136
"549","120101000100900010 ",79
"550","120101000100900011 ",93
"551","120101000100900012 ",162
"552","120101000100900013 ",95
"553","120101000100900014B",130
"554","120101000100900015 ",126
"555","120101000100900016 ",175
"556","120101000100900017 ",362
"557","120101000100900018 ",84
"558","120101000100900019 ",200
"559","120101000100900020 ",143
"560","120101000100900021A",196
"561","120101000100900021C",126
"562","120101000100900024 ",117
"563","120101000100900025C",149
"564","120101000100900026A",64
"565","120101000100900028 ",36
"566","120101000100900029A",202
"567","120101000100900031 ",70
"568","120101000100900032 ",50
"569","120101000100900033B",43
"570","120101000100900033C",58
"571","120101000100900033D",95
"572","120101000100900034 ",53
"573","120101000100900036 ",60
"574","120101000100900038A",45
"575","120101000100900038B",144
"576","120101000100900039A",66
"577","120101000100900041A",89
"578","120101000100900041B",147
"579","120101000100900043A",109
"580","120101000100900044A",55
"581","120101000100900044B",128
"582","120101000100900045A",205
"583","120101000100900046A",291
"584","120101000100900048 ",309
"585","120101000100900049A",60
"586","120101000100900050 ",174
"587","120101000100900051 ",143
"588","120101000100900052 ",101
"589","120101000100900053 ",140
"590","120101000100900054C",87
"591","120101000100900055 ",84
"592","120101000100900056A",72
"593","120101000100900057 ",93
"594","120101000100900058 ",82
"595","120101000100900059 ",40
"596","1201010001009008888",82
"597","120101000101000001 ",76
"598","120101000101000002 ",31
"599","120101000101000003 ",181
"600","120101000101000005 ",253
"601","120101000101000006 ",74
"602","120101000101000007 ",168
"603","120101000101000008 ",186
"604","120101000101000009 ",94
"605","120101000101000010C",57
"606","120101000101000011 ",66
"607","120101000101000014B",45
"608","120101000101000016B",158
"609","120101000101000017A",84
"610","120101000101000018 ",32
"611","120101000101000019A",30
"612","120101000101000020A",53
"613","120101000101000021A",74
"614","120101000101000025C",36
"615","120101000101000026E",306
"616","120101000101000026H",93
"617","120101000101000027 ",40
"618","120101000101000030B",85
"619","120101000101000030C",122
"620","120101000101000030E",163
"621","120101000101000030F",66
"622","120101000101000031A",143
"623","120101000101000032 ",129
"624","120101000101000033B",48
"625","120101000101000033C",30
"626","120101000101000034B",35
"627","120101000101000034C",71
"628","120101000101000034F",295
"629","120101000101000034G",123
"630","120101000101000034J",42
"631","120101000101000034K",31
"632","120101000101000034L",98
"633","120101000101000034O",193
"634","120101000101000035A",66
"635","120101000101000036A",46
"636","120101000101000036B",107
"637","120101000101000037A",290
"638","120101000101000037B",81
"639","120101000101000038 ",145
"640","120101000101000039A",388
"641","120101000101000040 ",237
"642","120101000101000041 ",69
"643","120101000101000042 ",149
"644","120101000101000043 ",65
"645","120101000101000044 ",111
"646","120101000101000045 ",172
"647","120101000101000046 ",100
"648","120101000101000047 ",30
"649","120101000101000048 ",185
"650","120101000101000049E",52
"651","120101000101000049F",58
"652","120101000101000050C",71
"653","120101000101000051B",79
"654","120101000101000051C",31
"655","120101000101000051D",61
"656","120101000101000051E",199
"657","1201010001010008888",297
"658","120101000101100001 ",128
"659","120101000101100002 ",174
"660","120101000101100003A",225
"661","120101000101100004 ",113
"662","120101000101100005 ",123
"663","120101000101100006 ",79
"664","120101000101100007 ",107
"665","120101000101100009 ",226
"666","120101000101100010 ",106
"667","120101000101100011 ",72
"668","120101000101100012 ",159
"669","120101000101100013 ",91
"670","120101000101100014 ",169
"671","120101000101100015 ",121
"672","120101000101100016 ",98
"673","120101000101100017 ",63
"674","120101000101100018 ",61
"675","120101000101100019 ",32
"676","120101000101100020B",88
"677","120101000101100021 ",89
"678","120101000101100022 ",44
"679","120101000101100023 ",46
"680","120101000101100025 ",49
"681","120101000101100026 ",64
"682","120101000101100028 ",116
"683","120101000101100029 ",85
"684","120101000101100030 ",78
"685","120101000101100031 ",114
"686","120101000101100032 ",116
"687","120101000101100034 ",70
"688","120101000101100035 ",87
"689","120101000101100036 ",95
"690","120101000101100037 ",123
"691","120101000101100038 ",55
"692","120101000101100039 ",109
"693","120101000101100041 ",70
"694","120101000101100042 ",111
"695","120101000101100043 ",295
"696","120101000101100046 ",108
"697","120101000101100047A",240
"698","120101000101100048A",143
"699","120101000101100049 ",128
"700","120101000101100052 ",105
"701","120101000101100053 ",83
"702","120101000101100055 ",73
"703","120101000101100056A",247
"704","120101000101100057 ",55
"705","1201010001011008888",149
"706","120101000101200001 ",37
"707","120101000101200002 ",74
"708","120101000101200003 ",35
"709","120101000101200006A",529
"710","120101000101200007A",58
"711","120101000101200007B",141
"712","120101000101200008 ",38
"713","120101000101200010 ",41
"714","120101000101200011 ",34
"715","120101000101200013A",103
"716","120101000101200013D",373
"717","120101000101200013F",56
"718","120101000101200015 ",40
"719","120101000101200016 ",237
"720","120101000101200017 ",323
"721","120101000101200018 ",77
"722","120101000101200019 ",75
"723","120101000101200020 ",66
"724","120101000101200021 ",57
"725","120101000101200022 ",168
"726","120101000101200026 ",131
"727","120101000101200027A",116
"728","120101000101200027B",121
"729","120101000101200028 ",59
"730","120101000101200029 ",40
"731","120101000101200030 ",69
"732","120101000101200032 ",33
"733","120101000101200033 ",128
"734","120101000101200035 ",36
"735","120101000101200038 ",30
"736","120101000101200047 ",33
"737","120101000101200049 ",93
"738","120101000101200052 ",97
"739","1201010001012008888",283
"740","120101000101300005 ",144
"741","120101000101300006 ",187
"742","120101000101300007 ",62
"743","120101000101300008 ",45
"744","120101000101300009A",117
"745","120101000101300010 ",125
"746","120101000101300017 ",124
"747","120101000101300018 ",76
"748","120101000101300019 ",110
"749","120101000101300020 ",174
"750","120101000101300021 ",139
"751","120101000101300022 ",188
"752","120101000101300023A",232
"753","120101000101300024 ",96
"754","120101000101300025 ",247
"755","120101000101300026 ",74
"756","120101000101300027 ",91
"757","120101000101300028 ",140
"758","120101000101300029 ",176
"759","120101000101300030 ",119
"760","120101000101300031 ",94
"761","120101000101300032 ",321
"762","120101000101300033 ",98
"763","120101000101300034 ",144
"764","120101000101300035 ",153
"765","120101000101300036 ",114
"766","120101000101300038 ",146
"767","120101000101300040 ",116
"768","120101000101300041 ",36
"769","120101000101300042 ",281
"770","120101000101300043 ",148
"771","120101000101300044 ",75
"772","120101000101300045 ",181
"773","120101000101300046 ",144
"774","120101000101300047 ",168
"775","120101000101300048 ",116
"776","120101000101300049 ",185
"777","120101000101300050 ",53
"778","120101000101300051 ",214
"779","120101000101300052 ",228
"780","120101000101300054A",201
"781","1201010001013008888",220
"782","120101000101400003B",246
"783","120101000101400004 ",34
"784","120101000101400007 ",52
"785","120101000101400008 ",143
"786","120101000101400009 ",91
"787","120101000101400010 ",149
"788","120101000101400011 ",61
"789","120101000101400012 ",41
"790","120101000101400013 ",72
"791","120101000101400014 ",73
"792","120101000101400015 ",96
"793","120101000101400018 ",76
"794","120101000101400019 ",116
"795","120101000101400022 ",240
"796","120101000101400023 ",73
"797","120101000101400024 ",53
"798","120101000101400026 ",59
"799","120101000101400027 ",49
"800","120101000101400028 ",57
"801","120101000101400030 ",116
"802","120101000101400031 ",200
"803","120101000101400032 ",159
"804","120101000101400033 ",161
"805","120101000101400034 ",118
"806","120101000101400035 ",131
"807","120101000101400036 ",88
"808","120101000101400037 ",52
"809","120101000101400038 ",89
"810","120101000101400039 ",102
"811","120101000101400040 ",68
"812","120101000101400041 ",95
"813","120101000101400042 ",134
"814","120101000101400043 ",187
"815","120101000101400044 ",176
"816","120101000101400045 ",87
"817","120101000101400046 ",104
"818","120101000101400047 ",59
"819","120101000101400048 ",150
"820","120101000101400049 ",132
"821","120101000101400050 ",113
"822","120101000101400051 ",164
"823","120101000101400052 ",34
"824","1201010001014008888",419
"825","120101000101500001 ",46
"826","120101000101500002 ",53
"827","120101000101500003 ",38
"828","120101000101500005A",142
"829","120101000101500005B",113
"830","120101000101500006 ",134
"831","120101000101500007 ",126
"832","120101000101500008 ",56
"833","120101000101500009 ",119
"834","120101000101500010 ",151
"835","120101000101500011 ",45
"836","120101000101500012 ",275
"837","120101000101500013 ",131
"838","120101000101500014 ",165
"839","120101000101500015 ",220
"840","120101000101500016 ",58
"841","120101000101500017 ",98
"842","120101000101500018 ",91
"843","120101000101500019 ",100
"844","120101000101500020 ",208
"845","120101000101500021A",206
"846","120101000101500022 ",224
"847","120101000101500023 ",97
"848","120101000101500024 ",79
"849","120101000101500025 ",328
"850","120101000101500026 ",357
"851","120101000101500027A",335
"852","120101000101500027B",78
"853","120101000101500028 ",182
"854","120101000101500029 ",198
"855","120101000101500030 ",211
"856","120101000101500032A",218
"857","120101000101500033A",150
"858","120101000101500033J",38
"859","120101000101500033K",161
"860","120101000101500033L",248
"861","120101000101500035A",339
"862","120101000101500035D",37
"863","120101000101500035F",103
"864","120101000101500035G",116
"865","120101000101500035H",34
"866","120101000101500036A",117
"867","120101000101500039A",136
"868","120101000101500039D",47
"869","120101000101500039E",95
"870","120101000101500040A",75
"871","120101000101500040B",76
"872","120101000101500040C",232
"873","120101000101500041A",117
"874","120101000101500041B",291
"875","120101000101500042 ",101
"876","120101000101500043 ",113
"877","120101000101500044 ",192
"878","120101000101500046C",274
"879","120101000101500047 ",68
"880","120101000101500048 ",150
"881","120101000101500049 ",88
"882","120101000101500050 ",111
"883","120101000101500051 ",111
"884","1201010001015008888",120
"885","120101000101600001 ",73
"886","120101000101600002A",55
"887","120101000101600002B",48
"888","120101000101600002D",47
"889","120101000101600002H",39
"890","120101000101600003 ",74
"891","120101000101600004 ",95
"892","120101000101600005 ",157
"893","120101000101600006 ",119
"894","120101000101600007 ",125
"895","120101000101600008 ",191
"896","120101000101600009 ",94
"897","120101000101600010 ",288
"898","120101000101600011 ",38
"899","120101000101600012 ",105
"900","120101000101600013 ",70
"901","120101000101600014 ",48
"902","120101000101600015 ",38
"903","120101000101600016 ",50
"904","120101000101600017 ",32
"905","120101000101600018 ",79
"906","120101000101600019 ",94
"907","120101000101600020 ",147
"908","120101000101600021 ",189
"909","120101000101600022 ",62
"910","120101000101600023 ",85
"911","120101000101600025 ",82
"912","120101000101600027 ",149
"913","120101000101600028 ",176
"914","120101000101600029 ",175
"915","120101000101600031 ",93
"916","120101000101600032 ",131
"917","120101000101600033 ",163
"918","120101000101600034 ",142
"919","120101000101600035 ",219
"920","120101000101600036 ",122
"921","120101000101600037 ",175
"922","120101000101600039 ",59
"923","120101000101600040 ",79
"924","120101000101600041 ",117
"925","120101000101600042A",95
"926","120101000101600043 ",142
"927","120101000101600046 ",92
"928","120101000101600047 ",236
"929","120101000101600048 ",308
"930","120101000101600049 ",223
"931","120101000101600050 ",178
"932","120101000101600051 ",161
"933","120101000101600052 ",54
"934","120101000101600053 ",118
"935","120101000101600054 ",76
"936","1201010001016008888",205
"937","120101000101700001 ",172
"938","120101000101700002 ",138
"939","120101000101700003 ",49
"940","120101000101700004 ",87
"941","120101000101700005 ",100
"942","120101000101700007 ",30
"943","120101000101700008A",78
"944","120101000101700008B",53
"945","120101000101700009A",170
"946","120101000101700009B",93
"947","120101000101700010 ",271
"948","120101000101700011 ",135
"949","120101000101700012 ",115
"950","120101000101700013 ",223
"951","120101000101700015A",268
"952","120101000101700015C",234
"953","120101000101700015D",99
"954","120101000101700015E",90
"955","120101000101700016 ",79
"956","120101000101700017 ",209
"957","120101000101700021 ",42
"958","120101000101700023 ",33
"959","120101000101700024 ",46
"960","120101000101700025 ",31
"961","120101000101700026A",302
"962","120101000101700028 ",47
"963","120101000101700029A",237
"964","120101000101700029B",97
"965","120101000101700030 ",115
"966","120101000101700031A",58
"967","120101000101700031B",161
"968","120101000101700033A",118
"969","120101000101700033B",149
"970","120101000101700034A",51
"971","120101000101700034B",31
"972","120101000101700035D",58
"973","120101000101700035E",37
"974","120101000101700035F",42
"975","120101000101700037 ",368
"976","120101000101700038A",592
"977","120101000101700038B",71
"978","120101000101700039 ",63
"979","120101000101700040A",187
"980","120101000101700040D",342
"981","120101000101700040E",89
"982","120101000101700043 ",52
"983","120101000101700044 ",59
"984","120101000101700045 ",48
"985","120101000101700046 ",49
"986","120101000101700048 ",55
"987","120101000101700049 ",132
"988","120101000101700050 ",173
