"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"1234","120107000100101004 "," Junin","Huancayo","Chilca","Chilca","Mza: 004",0,3,32,47,11,5,2,10,15,7,3,4,5,5,2,4,2,0,1,3,0,0,0,0,79
"1235","120107000100101005A"," Junin","Huancayo","Chilca","Chilca","Mza: 005A",3,4,102,97,24,14,25,24,20,24,10,13,9,7,7,8,5,4,3,1,1,0,0,0,199
"1236","120107000100101005B"," Junin","Huancayo","Chilca","Chilca","Mza: 005B",0,1,87,92,11,22,24,26,20,12,9,14,12,11,8,4,1,1,2,1,0,1,0,0,179
"1237","120107000100101005C"," Junin","Huancayo","Chilca","Chilca","Mza: 005C",0,0,22,29,6,7,3,4,2,4,4,3,4,1,3,1,1,2,2,1,2,1,0,0,51
"1238","120107000100101006 "," Junin","Huancayo","Chilca","Chilca","Mza: 006",1,0,9,23,5,4,3,2,4,4,1,1,1,0,1,2,3,0,1,0,0,0,0,0,32
"1239","120107000100101007A"," Junin","Huancayo","Chilca","Chilca","Mza: 007A",3,2,38,45,5,8,7,6,5,5,10,9,7,8,2,2,7,2,0,0,0,0,0,0,83
"1240","120107000100101008 "," Junin","Huancayo","Chilca","Chilca","Mza: 008",0,0,19,20,3,4,2,3,6,6,4,3,0,4,2,0,1,0,0,0,0,1,0,0,39
"1241","120107000100101009A"," Junin","Huancayo","Chilca","Chilca","Mza: 009A",1,2,55,71,12,13,16,17,11,10,12,10,8,4,4,5,1,1,2,0,0,0,0,0,126
"1242","120107000100101009B"," Junin","Huancayo","Chilca","Chilca","Mza: 009B",2,3,42,45,10,12,11,7,11,5,6,7,6,3,1,2,0,4,1,0,0,1,0,0,87
"1243","120107000100101009C"," Junin","Huancayo","Chilca","Chilca","Mza: 009C",5,3,139,181,39,28,31,39,42,31,19,24,19,18,7,9,5,3,1,1,3,0,1,0,320
"1244","120107000100101010 "," Junin","Huancayo","Chilca","Chilca","Mza: 010",1,1,28,25,4,7,3,5,6,4,8,3,1,2,2,1,5,1,0,0,1,0,0,0,53
"1245","120107000100101011 "," Junin","Huancayo","Chilca","Chilca","Mza: 011",2,0,19,23,6,4,3,4,5,5,5,2,3,0,1,3,0,0,1,0,0,0,0,0,42
"1246","120107000100101012 "," Junin","Huancayo","Chilca","Chilca","Mza: 012",8,2,59,67,12,13,13,15,16,10,2,13,5,8,5,6,2,2,0,1,1,1,1,0,126
"1247","120107000100101013 "," Junin","Huancayo","Chilca","Chilca","Mza: 013",5,1,46,42,5,13,5,13,5,6,6,10,10,4,3,1,2,2,0,2,1,0,0,0,88
"1248","120107000100101014A"," Junin","Huancayo","Chilca","Chilca","Mza: 014A",2,1,54,57,13,13,11,12,19,12,5,13,4,3,4,1,0,1,0,0,0,0,0,0,111
"1249","120107000100101014B"," Junin","Huancayo","Chilca","Chilca","Mza: 014B",5,0,33,35,6,9,6,7,6,10,4,6,3,4,4,0,1,2,0,0,0,0,0,0,68
"1250","120107000100101014D"," Junin","Huancayo","Chilca","Chilca","Mza: 014D",11,1,158,199,30,30,40,51,40,30,20,27,33,18,13,8,5,4,1,4,2,1,0,0,357
"1251","120107000100101015 "," Junin","Huancayo","Chilca","Chilca","Mza: 015",7,2,52,57,9,11,10,9,18,7,5,10,8,9,3,2,4,2,0,0,1,1,0,0,109
"1252","120107000100101016A"," Junin","Huancayo","Chilca","Chilca","Mza: 016A",4,3,53,59,15,14,9,13,12,10,6,12,5,4,6,0,4,0,0,1,1,0,0,0,112
"1253","120107000100101016B"," Junin","Huancayo","Chilca","Chilca","Mza: 016B",4,3,35,44,10,7,5,4,9,8,9,3,7,2,5,3,3,1,0,0,3,0,0,0,79
"1254","120107000100101017 "," Junin","Huancayo","Chilca","Chilca","Mza: 017",5,0,63,57,12,16,13,14,16,9,9,7,6,2,6,3,1,2,1,2,1,0,0,0,120
"1255","120107000100101018 "," Junin","Huancayo","Chilca","Chilca","Mza: 018",20,11,276,304,47,51,55,74,77,47,57,40,39,29,19,18,9,7,7,3,1,0,0,0,580
"1256","120107000100101019 "," Junin","Huancayo","Chilca","Chilca","Mza: 019",9,5,178,204,42,25,32,47,46,53,36,19,13,16,14,19,9,1,3,5,0,1,1,0,382
"1257","120107000100101020 "," Junin","Huancayo","Chilca","Chilca","Mza: 020",2,3,52,48,4,14,7,10,9,15,13,10,7,4,2,2,1,0,1,1,0,0,0,0,100
"1258","120107000100101021A"," Junin","Huancayo","Chilca","Chilca","Mza: 021A",2,1,21,31,4,5,10,7,4,2,5,4,7,1,2,0,0,0,1,0,0,0,0,0,52
"1259","120107000100101021B"," Junin","Huancayo","Chilca","Chilca","Mza: 021B",15,10,167,217,40,41,41,40,44,40,40,24,16,13,20,11,4,1,2,5,2,0,0,0,384
"1260","120107000100101022 "," Junin","Huancayo","Chilca","Chilca","Mza: 022",18,10,312,342,61,57,74,73,81,62,48,43,36,40,28,24,6,9,6,4,1,0,1,0,654
"1261","120107000100101023 "," Junin","Huancayo","Chilca","Chilca","Mza: 023",3,0,67,87,14,17,14,19,18,16,8,12,7,6,9,4,1,4,3,1,1,0,0,0,154
"1262","120107000100101024 "," Junin","Huancayo","Chilca","Chilca","Mza: 024",0,0,31,34,5,12,9,7,6,7,5,4,2,2,1,3,0,0,0,1,1,0,0,0,65
"1263","120107000100101025A"," Junin","Huancayo","Chilca","Chilca","Mza: 025A",3,3,101,93,18,12,22,20,17,18,18,16,17,9,10,4,5,5,2,0,1,0,0,0,194
"1264","1201070001001018888"," Junin","Huancayo","Chilca","Chilca","Mza: 8888",3,1,50,61,10,8,8,10,13,8,15,10,5,5,6,3,3,4,2,0,0,1,0,0,111
"1265","120107000100200001 "," Junin","Huancayo","Chilca","Chilca","Mza: 001",2,0,76,77,11,13,14,12,9,9,9,10,12,12,5,8,8,6,6,5,3,0,0,1,153
"1266","120107000100200002 "," Junin","Huancayo","Chilca","Chilca","Mza: 002",1,0,18,16,3,2,2,3,4,6,4,3,0,2,1,1,2,0,1,0,0,0,0,0,34
"1267","120107000100200003 "," Junin","Huancayo","Chilca","Chilca","Mza: 003",5,3,89,107,10,6,14,22,30,16,17,20,15,12,4,4,12,8,2,3,1,0,0,0,196
"1268","120107000100200004 "," Junin","Huancayo","Chilca","Chilca","Mza: 004",2,4,53,54,9,6,6,8,16,13,8,7,8,5,7,7,0,1,3,2,0,1,0,0,107
"1269","120107000100200005 "," Junin","Huancayo","Chilca","Chilca","Mza: 005",0,1,21,31,4,2,1,3,6,6,9,1,0,0,5,4,3,3,4,1,0,0,0,0,52
"1270","120107000100200006 "," Junin","Huancayo","Chilca","Chilca","Mza: 006",7,1,34,31,0,2,3,4,12,3,5,1,2,11,2,6,5,0,2,3,3,0,1,0,65
"1271","120107000100200007 "," Junin","Huancayo","Chilca","Chilca","Mza: 007",1,1,14,18,1,2,1,1,5,4,3,2,0,2,1,2,3,0,2,2,1,0,0,0,32
"1272","120107000100200008 "," Junin","Huancayo","Chilca","Chilca","Mza: 008",5,1,96,85,17,13,11,14,16,13,8,11,15,19,8,9,2,5,8,5,5,2,0,0,181
"1273","120107000100200009 "," Junin","Huancayo","Chilca","Chilca","Mza: 009",7,3,64,72,9,8,11,9,12,14,9,8,11,15,5,6,5,3,5,3,2,1,0,0,136
"1274","120107000100200010 "," Junin","Huancayo","Chilca","Chilca","Mza: 010",9,2,33,45,7,3,3,5,12,2,7,4,3,3,8,7,6,1,2,2,1,1,1,0,78
"1275","120107000100200011 "," Junin","Huancayo","Chilca","Chilca","Mza: 011",5,4,98,94,9,15,13,11,15,26,16,5,12,9,13,13,15,8,3,4,1,4,0,0,192
"1276","120107000100200012 "," Junin","Huancayo","Chilca","Chilca","Mza: 012",5,1,47,73,3,9,9,8,11,7,10,6,6,9,10,5,5,5,4,7,3,1,1,1,120
"1277","120107000100200013 "," Junin","Huancayo","Chilca","Chilca","Mza: 013",15,4,147,166,16,17,25,29,32,18,23,26,21,23,15,10,10,22,9,6,6,4,0,1,313
"1278","120107000100200015 "," Junin","Huancayo","Chilca","Chilca","Mza: 015",20,4,218,145,15,23,10,15,63,51,56,18,18,23,22,19,10,8,3,4,3,1,1,0,363
"1279","120107000100200016 "," Junin","Huancayo","Chilca","Chilca","Mza: 016",5,3,51,58,13,7,5,4,9,10,12,9,4,5,6,5,6,4,2,5,2,1,0,0,109
"1280","120107000100200017A"," Junin","Huancayo","Chilca","Chilca","Mza: 017A",9,4,126,175,16,22,19,21,27,29,26,22,19,21,18,18,14,7,5,8,4,4,1,0,301
"1281","120107000100200018 "," Junin","Huancayo","Chilca","Chilca","Mza: 018",16,2,165,207,24,35,42,35,30,25,31,20,32,21,19,18,11,13,4,6,4,2,0,0,372
"1282","120107000100200019 "," Junin","Huancayo","Chilca","Chilca","Mza: 019",3,0,21,32,4,1,2,2,5,5,5,2,2,2,2,8,2,5,2,2,0,2,0,0,53
"1283","120107000100200020 "," Junin","Huancayo","Chilca","Chilca","Mza: 020",3,0,13,21,3,2,1,2,2,3,2,1,2,3,2,3,2,2,1,0,1,2,0,0,34
"1284","120107000100200021 "," Junin","Huancayo","Chilca","Chilca","Mza: 021",2,2,34,42,3,5,4,3,8,6,5,7,4,5,3,1,6,7,5,2,1,0,1,0,76
"1285","120107000100200022 "," Junin","Huancayo","Chilca","Chilca","Mza: 022",8,2,70,77,7,9,12,12,12,13,9,9,9,8,9,8,8,10,4,3,3,1,0,1,147
"1286","120107000100200023 "," Junin","Huancayo","Chilca","Chilca","Mza: 023",7,2,87,103,16,10,26,11,19,16,18,12,11,12,8,3,5,8,6,7,2,0,0,0,190
"1287","120107000100200024 "," Junin","Huancayo","Chilca","Chilca","Mza: 024",3,2,31,28,6,4,3,4,9,6,4,3,2,3,5,5,3,2,0,0,0,0,0,0,59
"1288","120107000100200025 "," Junin","Huancayo","Chilca","Chilca","Mza: 025",4,1,40,45,9,4,5,7,11,8,7,3,4,5,5,3,6,1,1,3,1,1,1,0,85
"1289","120107000100200026 "," Junin","Huancayo","Chilca","Chilca","Mza: 026",8,2,102,118,19,19,15,15,20,16,16,20,17,11,16,13,5,3,3,6,2,3,1,0,220
"1290","120107000100200027A"," Junin","Huancayo","Chilca","Chilca","Mza: 027A",13,6,86,100,19,15,16,12,7,10,23,21,10,8,9,6,10,10,7,2,1,0,0,0,186
"1291","120107000100200028A"," Junin","Huancayo","Chilca","Chilca","Mza: 028A",3,1,19,26,4,3,0,5,4,2,4,3,1,5,1,5,2,2,0,2,2,0,0,0,45
"1292","120107000100200029A"," Junin","Huancayo","Chilca","Chilca","Mza: 029A",0,0,23,19,1,3,5,6,2,2,4,5,1,3,1,2,4,1,2,0,0,0,0,0,42
"1293","120107000100200030 "," Junin","Huancayo","Chilca","Chilca","Mza: 030",11,3,88,102,15,8,15,23,18,15,12,13,14,8,12,4,8,10,6,7,2,0,0,0,190
"1294","120107000100200031 "," Junin","Huancayo","Chilca","Chilca","Mza: 031",15,2,120,125,16,18,13,25,23,24,17,22,16,22,11,2,8,9,8,9,0,1,0,1,245
"1295","120107000100200032 "," Junin","Huancayo","Chilca","Chilca","Mza: 032",5,3,78,102,14,14,9,11,17,31,17,20,5,11,9,3,6,4,5,1,2,0,0,1,180
"1296","120107000100200033 "," Junin","Huancayo","Chilca","Chilca","Mza: 033",7,3,136,143,24,28,22,24,26,21,21,26,12,14,19,12,6,10,7,4,1,2,0,0,279
"1297","120107000100200034 "," Junin","Huancayo","Chilca","Chilca","Mza: 034",7,2,116,133,18,21,21,27,26,28,17,12,19,19,10,11,8,2,3,6,1,0,0,0,249
"1298","120107000100200035 "," Junin","Huancayo","Chilca","Chilca","Mza: 035",5,3,69,81,4,9,12,16,18,17,15,10,8,8,9,9,6,5,0,2,1,1,0,0,150
"1299","120107000100200036 "," Junin","Huancayo","Chilca","Chilca","Mza: 036",4,1,66,84,20,10,13,12,21,5,15,9,13,8,6,2,3,5,1,2,2,2,1,0,150
"1300","120107000100200037 "," Junin","Huancayo","Chilca","Chilca","Mza: 037",3,1,32,31,1,12,8,5,2,3,4,7,4,3,3,3,2,0,2,3,1,0,0,0,63
"1301","120107000100200038 "," Junin","Huancayo","Chilca","Chilca","Mza: 038",12,5,92,96,19,21,13,10,28,15,18,12,8,11,9,8,6,4,2,4,0,0,0,0,188
"1302","120107000100200039A"," Junin","Huancayo","Chilca","Chilca","Mza: 039A",3,3,64,59,19,9,5,9,9,9,18,8,9,6,4,3,10,1,2,1,1,0,0,0,123
"1303","120107000100200040A"," Junin","Huancayo","Chilca","Chilca","Mza: 040A",2,1,27,42,5,5,3,6,11,3,3,9,5,4,2,4,1,4,2,1,1,0,0,0,69
"1304","120107000100200042 "," Junin","Huancayo","Chilca","Chilca","Mza: 042",6,2,67,83,11,12,14,16,19,12,14,16,10,11,5,2,3,3,0,1,0,0,1,0,150
"1305","120107000100200043 "," Junin","Huancayo","Chilca","Chilca","Mza: 043",5,2,52,75,7,7,9,13,13,8,6,3,7,10,11,9,8,4,5,1,3,1,2,0,127
"1306","120107000100200044 "," Junin","Huancayo","Chilca","Chilca","Mza: 044",8,1,49,45,6,6,13,11,8,11,7,9,6,5,2,2,2,3,1,1,0,1,0,0,94
"1307","120107000100200045 "," Junin","Huancayo","Chilca","Chilca","Mza: 045",6,5,93,92,14,17,14,16,23,14,9,17,11,14,7,6,13,6,2,0,2,0,0,0,185
"1308","120107000100200046 "," Junin","Huancayo","Chilca","Chilca","Mza: 046",15,5,130,153,27,13,28,19,38,26,16,25,20,23,10,10,6,6,9,4,1,2,0,0,283
"1309","120107000100200047 "," Junin","Huancayo","Chilca","Chilca","Mza: 047",6,1,84,86,11,22,16,9,13,19,20,12,11,7,6,5,8,3,6,1,1,0,0,0,170
"1310","120107000100200049 "," Junin","Huancayo","Chilca","Chilca","Mza: 049",3,2,62,65,11,8,9,13,13,10,13,15,7,6,4,6,7,3,1,1,0,0,0,0,127
"1311","120107000100200050 "," Junin","Huancayo","Chilca","Chilca","Mza: 050",1,0,43,32,9,5,6,6,12,4,11,7,4,2,1,1,2,1,4,0,0,0,0,0,75
"1312","120107000100200051 "," Junin","Huancayo","Chilca","Chilca","Mza: 051",0,3,26,34,5,7,7,8,6,7,2,5,0,2,5,2,4,0,0,0,0,0,0,0,60
"1313","120107000100200052 "," Junin","Huancayo","Chilca","Chilca","Mza: 052",1,0,28,30,6,5,2,0,4,10,6,4,3,2,2,5,3,3,1,1,0,1,0,0,58
"1314","120107000100200053 "," Junin","Huancayo","Chilca","Chilca","Mza: 053",3,2,24,34,5,6,3,5,5,6,7,2,5,0,3,4,1,2,3,1,0,0,0,0,58
"1315","120107000100200054 "," Junin","Huancayo","Chilca","Chilca","Mza: 054",1,0,22,26,4,3,9,6,5,2,4,2,5,3,0,1,1,1,0,2,0,0,0,0,48
"1316","120107000100200055 "," Junin","Huancayo","Chilca","Chilca","Mza: 055",12,3,138,133,15,19,30,27,29,21,27,18,19,9,9,14,8,13,8,3,2,0,0,0,271
"1317","120107000100200056 "," Junin","Huancayo","Chilca","Chilca","Mza: 056",9,1,67,65,9,9,12,6,19,10,8,10,8,13,5,4,6,2,5,3,1,0,2,0,132
"1318","120107000100200057 "," Junin","Huancayo","Chilca","Chilca","Mza: 057",3,1,25,33,5,7,4,6,8,4,3,5,6,3,1,0,3,1,1,1,0,0,0,0,58
"1319","120107000100200058 "," Junin","Huancayo","Chilca","Chilca","Mza: 058",4,3,73,97,21,10,19,18,14,18,20,14,7,2,9,8,2,3,1,3,1,0,0,0,170
"1320","120107000100200059 "," Junin","Huancayo","Chilca","Chilca","Mza: 059",17,2,95,101,13,11,17,17,25,22,21,9,9,15,12,8,5,7,3,0,1,1,0,0,196
"1321","120107000100200060 "," Junin","Huancayo","Chilca","Chilca","Mza: 060",8,2,79,93,11,11,8,18,21,24,19,10,5,4,10,11,6,7,4,1,0,2,0,0,172
"1322","1201070001002008888"," Junin","Huancayo","Chilca","Chilca","Mza: 8888",1,0,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
"1323","120107000100300001 "," Junin","Huancayo","Chilca","Chilca","Mza: 001",0,2,87,90,8,8,12,33,23,19,15,16,11,8,8,7,2,2,2,1,1,1,0,0,177
"1324","120107000100300002 "," Junin","Huancayo","Chilca","Chilca","Mza: 002",2,3,35,45,7,2,6,8,8,10,3,8,4,3,5,2,7,1,1,3,1,1,0,0,80
"1325","120107000100300003 "," Junin","Huancayo","Chilca","Chilca","Mza: 003",3,0,49,53,6,6,6,7,14,9,5,8,2,8,12,5,0,10,2,1,0,1,0,0,102
"1326","120107000100300004 "," Junin","Huancayo","Chilca","Chilca","Mza: 004",4,1,78,90,11,14,14,15,15,13,10,12,17,7,10,7,9,4,1,3,2,3,1,0,168
"1327","120107000100300005 "," Junin","Huancayo","Chilca","Chilca","Mza: 005",8,4,107,122,17,16,17,19,21,14,13,29,21,10,12,8,8,9,4,6,5,0,0,0,229
"1328","120107000100300006 "," Junin","Huancayo","Chilca","Chilca","Mza: 006",7,2,73,74,12,11,10,7,15,17,11,8,12,8,9,5,5,4,2,6,3,2,0,0,147
"1329","120107000100300007A"," Junin","Huancayo","Chilca","Chilca","Mza: 007A",3,2,53,46,5,6,11,6,7,7,11,8,8,2,5,6,2,3,2,1,4,5,0,0,99
"1330","120107000100300008 "," Junin","Huancayo","Chilca","Chilca","Mza: 008",4,1,19,22,4,7,4,3,1,3,1,4,3,1,2,0,2,1,1,3,0,1,0,0,41
"1331","120107000100300009 "," Junin","Huancayo","Chilca","Chilca","Mza: 009",0,1,27,29,8,3,4,7,7,4,6,1,2,5,2,2,0,3,0,1,0,0,0,1,56
"1332","120107000100300010 "," Junin","Huancayo","Chilca","Chilca","Mza: 010",5,1,35,34,5,4,6,5,5,3,11,5,4,2,1,4,10,2,0,2,0,0,0,0,69
"1333","120107000100300011 "," Junin","Huancayo","Chilca","Chilca","Mza: 011",3,2,47,43,5,8,10,5,14,10,6,8,5,5,3,2,1,5,2,0,1,0,0,0,90
"1334","120107000100300012 "," Junin","Huancayo","Chilca","Chilca","Mza: 012",4,1,44,63,5,6,10,14,9,13,9,5,4,13,6,6,1,1,2,1,2,0,0,0,107
"1335","120107000100300013 "," Junin","Huancayo","Chilca","Chilca","Mza: 013",1,3,43,53,7,4,3,7,13,10,9,3,4,5,10,8,4,3,3,2,0,1,0,0,96
"1336","120107000100300014 "," Junin","Huancayo","Chilca","Chilca","Mza: 014",8,0,41,40,8,7,3,6,10,8,3,3,8,6,3,8,1,3,1,0,2,1,0,0,81
"1337","120107000100300015 "," Junin","Huancayo","Chilca","Chilca","Mza: 015",3,1,35,39,6,1,6,5,5,5,2,9,6,6,9,2,2,0,2,4,3,0,1,0,74
"1338","120107000100300016 "," Junin","Huancayo","Chilca","Chilca","Mza: 016",8,0,53,48,3,4,9,16,13,11,6,5,5,8,1,9,5,4,0,1,1,0,0,0,101
"1339","120107000100300017 "," Junin","Huancayo","Chilca","Chilca","Mza: 017",6,9,40,42,6,6,9,3,9,8,7,5,7,6,4,4,3,3,1,0,0,1,0,0,82
"1340","120107000100300018A"," Junin","Huancayo","Chilca","Chilca","Mza: 018A",7,1,102,85,8,7,12,23,32,17,18,14,11,14,6,8,6,2,4,2,2,1,0,0,187
"1341","120107000100300020 "," Junin","Huancayo","Chilca","Chilca","Mza: 020",14,5,75,79,15,17,13,10,10,10,10,11,11,8,9,9,6,3,2,3,4,2,1,0,154
"1342","120107000100300021 "," Junin","Huancayo","Chilca","Chilca","Mza: 021",7,1,60,57,7,11,9,10,10,6,5,6,11,9,8,6,7,6,3,0,3,0,0,0,117
"1343","120107000100300022 "," Junin","Huancayo","Chilca","Chilca","Mza: 022",3,0,53,57,11,9,7,10,10,6,6,4,8,12,8,1,3,6,5,0,1,2,1,0,110
"1344","120107000100300023 "," Junin","Huancayo","Chilca","Chilca","Mza: 023",5,1,72,89,11,14,14,20,17,16,8,9,8,10,11,5,2,8,1,2,1,2,2,0,161
"1345","120107000100300024 "," Junin","Huancayo","Chilca","Chilca","Mza: 024",1,0,19,20,2,3,2,4,4,4,3,4,1,1,2,2,2,1,1,3,0,0,0,0,39
"1346","120107000100300026 "," Junin","Huancayo","Chilca","Chilca","Mza: 026",7,1,59,74,6,8,8,8,8,14,13,13,7,8,9,9,10,5,3,1,1,2,0,0,133
"1347","120107000100300027 "," Junin","Huancayo","Chilca","Chilca","Mza: 027",5,3,73,85,16,11,6,12,16,18,10,6,12,9,10,11,6,6,1,4,3,0,1,0,158
"1348","120107000100300028 "," Junin","Huancayo","Chilca","Chilca","Mza: 028",8,5,98,115,12,14,13,19,21,20,18,9,12,13,13,17,13,2,6,2,2,3,4,0,213
"1349","120107000100300029 "," Junin","Huancayo","Chilca","Chilca","Mza: 029",16,6,97,91,19,13,22,14,19,25,13,13,3,11,15,10,6,1,1,0,1,2,0,0,188
"1350","120107000100300030 "," Junin","Huancayo","Chilca","Chilca","Mza: 030",7,0,27,39,2,6,5,6,6,6,4,6,1,4,5,4,4,3,1,2,0,1,0,0,66
"1351","120107000100300031B"," Junin","Huancayo","Chilca","Chilca","Mza: 031B",5,3,86,87,16,19,10,13,9,13,17,11,15,6,6,8,6,8,4,2,7,2,1,0,173
"1352","120107000100300031C"," Junin","Huancayo","Chilca","Chilca","Mza: 031C",2,1,17,15,1,2,2,4,4,3,2,2,3,2,1,1,2,1,2,0,0,0,0,0,32
"1353","120107000100300031D"," Junin","Huancayo","Chilca","Chilca","Mza: 031D",0,1,44,44,7,8,4,5,9,5,8,7,5,6,6,0,6,6,2,1,1,2,0,0,88
"1354","120107000100300032 "," Junin","Huancayo","Chilca","Chilca","Mza: 032",7,1,42,50,7,7,9,8,6,6,5,7,6,6,7,5,2,5,4,1,0,1,0,0,92
"1355","120107000100300033 "," Junin","Huancayo","Chilca","Chilca","Mza: 033",3,4,47,51,2,6,4,8,11,4,7,6,5,12,3,5,6,6,9,1,1,0,2,0,98
"1356","120107000100300034 "," Junin","Huancayo","Chilca","Chilca","Mza: 034",4,0,61,54,6,8,10,14,13,6,10,8,10,10,5,2,3,4,2,2,1,0,1,0,115
"1357","120107000100300035B"," Junin","Huancayo","Chilca","Chilca","Mza: 035B",5,0,24,20,4,6,5,2,3,1,5,8,2,1,2,2,2,0,1,0,0,0,0,0,44
"1358","120107000100300039 "," Junin","Huancayo","Chilca","Chilca","Mza: 039",9,2,60,72,14,14,13,11,16,9,12,10,6,2,2,9,7,3,4,0,0,0,0,0,132
"1359","120107000100300040 "," Junin","Huancayo","Chilca","Chilca","Mza: 040",1,2,64,68,13,15,12,10,8,12,16,16,4,6,1,5,7,6,0,0,0,1,0,0,132
"1360","120107000100300041 "," Junin","Huancayo","Chilca","Chilca","Mza: 041",5,3,40,46,9,6,11,3,3,7,8,15,6,3,1,4,6,2,1,1,0,0,0,0,86
"1361","120107000100300042 "," Junin","Huancayo","Chilca","Chilca","Mza: 042",7,1,47,56,10,5,8,10,15,6,11,6,4,9,4,6,1,3,1,1,2,1,0,0,103
"1362","120107000100300043 "," Junin","Huancayo","Chilca","Chilca","Mza: 043",8,3,102,129,18,23,17,21,21,26,14,18,18,19,9,7,8,4,2,2,3,1,0,0,231
"1363","120107000100300045 "," Junin","Huancayo","Chilca","Chilca","Mza: 045",10,7,76,89,16,11,15,15,16,11,14,11,10,7,9,8,7,6,3,1,2,1,0,2,165
"1364","120107000100300046 "," Junin","Huancayo","Chilca","Chilca","Mza: 046",10,5,94,104,18,19,16,12,11,9,18,18,10,15,15,8,11,4,3,5,2,1,2,1,198
"1365","120107000100300047A"," Junin","Huancayo","Chilca","Chilca","Mza: 047A",3,2,82,103,16,14,15,18,20,23,11,9,10,8,7,10,10,6,3,0,3,1,1,0,185
"1366","120107000100300047B"," Junin","Huancayo","Chilca","Chilca","Mza: 047B",5,4,78,105,17,22,15,10,22,19,25,9,4,10,9,2,3,6,4,2,3,1,0,0,183
"1367","120107000100300048A"," Junin","Huancayo","Chilca","Chilca","Mza: 048A",7,3,91,99,22,16,16,15,18,16,13,12,16,7,9,13,3,4,1,2,4,2,1,0,190
"1368","120107000100300048B"," Junin","Huancayo","Chilca","Chilca","Mza: 048B",2,2,56,50,8,11,12,8,12,10,4,10,9,7,4,2,3,1,2,2,1,0,0,0,106
"1369","120107000100300049 "," Junin","Huancayo","Chilca","Chilca","Mza: 049",4,2,97,105,12,19,21,22,15,15,13,17,14,12,10,3,5,8,9,4,2,1,0,0,202
"1370","120107000100300050 "," Junin","Huancayo","Chilca","Chilca","Mza: 050",6,2,34,30,10,3,6,6,3,6,7,7,3,1,4,4,4,0,0,0,0,0,0,0,64
"1371","120107000100300051 "," Junin","Huancayo","Chilca","Chilca","Mza: 051",0,0,24,24,4,1,5,5,5,3,3,6,3,2,4,3,2,0,0,0,1,0,1,0,48
"1372","120107000100300052 "," Junin","Huancayo","Chilca","Chilca","Mza: 052",7,3,45,48,7,6,8,10,11,6,5,7,6,6,13,3,0,0,3,1,0,0,1,0,93
"1373","120107000100300053 "," Junin","Huancayo","Chilca","Chilca","Mza: 053",1,0,21,33,3,3,5,6,7,3,7,3,5,1,6,1,2,0,1,0,0,0,0,1,54
"1374","120107000100300054 "," Junin","Huancayo","Chilca","Chilca","Mza: 054",3,3,36,37,2,6,9,7,8,6,5,4,5,4,4,3,2,1,0,4,1,2,0,0,73
"1375","120107000100300055A"," Junin","Huancayo","Chilca","Chilca","Mza: 055A",10,2,93,109,13,12,17,22,25,21,11,10,11,20,12,7,3,4,3,5,1,4,0,1,202
"1376","120107000100300058B"," Junin","Huancayo","Chilca","Chilca","Mza: 058B",14,4,131,141,17,25,27,28,24,23,17,24,22,17,10,10,4,7,6,4,1,5,1,0,272
"1377","120107000100300059 "," Junin","Huancayo","Chilca","Chilca","Mza: 059",16,10,140,170,24,28,28,21,28,28,29,17,19,24,18,12,9,9,7,5,1,2,1,0,310
"1378","1201070001003008888"," Junin","Huancayo","Chilca","Chilca","Mza: 8888",1,1,57,11,2,2,1,9,24,4,8,4,4,4,1,2,1,1,0,0,0,0,1,0,68
"1379","120107000100400001B"," Junin","Huancayo","Chilca","Chilca","Mza: 001B",3,0,32,28,2,5,4,4,4,4,5,6,3,2,2,8,8,0,1,2,0,0,0,0,60
"1380","120107000100400001G"," Junin","Huancayo","Chilca","Chilca","Mza: 001G",9,2,80,95,15,22,16,16,13,22,17,12,8,9,8,8,4,1,1,2,1,0,0,0,175
"1381","120107000100400002 "," Junin","Huancayo","Chilca","Chilca","Mza: 002",5,3,205,175,22,24,25,43,65,35,42,37,29,15,12,7,14,4,1,4,0,0,1,0,380
"1382","120107000100400003 "," Junin","Huancayo","Chilca","Chilca","Mza: 003",1,1,22,32,5,4,1,4,5,7,4,2,5,4,4,2,2,2,1,1,1,0,0,0,54
"1383","120107000100400004 "," Junin","Huancayo","Chilca","Chilca","Mza: 004",7,5,76,66,10,20,12,9,10,13,22,9,9,1,7,8,2,8,0,1,0,1,0,0,142
"1384","120107000100400005A"," Junin","Huancayo","Chilca","Chilca","Mza: 005A",6,1,124,138,26,20,21,26,33,23,14,21,16,12,12,11,8,3,7,5,3,0,1,0,262
"1385","120107000100400006A"," Junin","Huancayo","Chilca","Chilca","Mza: 006A",9,3,93,117,20,16,20,20,27,20,17,12,11,9,9,6,4,3,11,4,1,0,0,0,210
