"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"33","120101000100100024A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 024A",7,1,58,73,3,11,5,20,31,14,7,6,11,4,5,7,2,1,2,1,0,0,1,0,131
"34","120101000100100025 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 025",12,2,36,47,7,5,5,13,8,5,5,7,7,6,2,3,3,3,4,0,0,0,0,0,83
"35","120101000100100026 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 026",4,0,40,53,4,13,10,12,7,6,10,10,4,7,1,4,3,0,0,2,0,0,0,0,93
"36","120101000100100027 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 027",3,1,21,26,1,0,3,5,12,6,1,0,2,10,2,0,0,2,1,1,0,1,0,0,47
"37","120101000100100028 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 028",4,1,37,42,7,3,3,11,15,8,11,4,4,2,3,3,3,1,1,0,0,0,0,0,79
"38","120101000100100029 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 029",7,1,35,43,5,6,4,10,7,7,6,6,3,4,3,4,4,5,2,0,2,0,0,0,78
"39","120101000100100031 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 031",4,1,28,37,3,5,9,5,5,4,5,5,5,4,1,1,6,3,1,1,2,0,0,0,65
"40","120101000100100032 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 032",8,1,58,58,15,7,5,15,22,17,10,2,4,4,5,2,3,3,2,0,0,0,0,0,116
"41","120101000100100033A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 033A",2,1,15,19,3,2,1,1,2,4,4,2,1,2,4,1,1,3,1,0,1,0,0,1,34
"42","120101000100100034 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 034",7,0,36,52,10,11,7,10,9,6,6,10,6,8,2,0,2,0,0,1,0,0,0,0,88
"43","120101000100100035A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 035A",27,5,186,212,21,21,30,47,64,45,42,22,19,13,21,23,11,7,3,4,0,4,1,0,398
